"Statistic Label","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2015","Co. Monaghan","Both sexes","Euro","542.92"
"Mean Weekly Earnings","2015","Co. Monaghan","Male","Euro","579.93"
"Mean Weekly Earnings","2015","Co. Monaghan","Female","Euro","506.8"
"Mean Weekly Earnings","2015","Co. Mayo","Both sexes","Euro","577.55"
"Mean Weekly Earnings","2015","Co. Mayo","Male","Euro","634.82"
"Mean Weekly Earnings","2015","Co. Mayo","Female","Euro","525.8"
"Mean Weekly Earnings","2015","Co. Offaly","Both sexes","Euro","600.31"
"Mean Weekly Earnings","2015","Co. Offaly","Male","Euro","661.73"
"Mean Weekly Earnings","2015","Co. Offaly","Female","Euro","535.39"
"Mean Weekly Earnings","2015","Co. Roscommon","Both sexes","Euro","599.19"
"Mean Weekly Earnings","2015","Co. Roscommon","Male","Euro","650.53"
"Mean Weekly Earnings","2015","Co. Roscommon","Female","Euro","552.18"
"Mean Weekly Earnings","2015","Co. Sligo","Both sexes","Euro","608.9"
"Mean Weekly Earnings","2015","Co. Sligo","Male","Euro","665.42"
"Mean Weekly Earnings","2015","Co. Sligo","Female","Euro","560.12"
"Mean Weekly Earnings","2015","Co. Tipperary","Both sexes","Euro","609.17"
"Mean Weekly Earnings","2015","Co. Tipperary","Male","Euro","684.93"
"Mean Weekly Earnings","2015","Co. Tipperary","Female","Euro","537.61"
"Mean Weekly Earnings","2015","Co. Waterford","Both sexes","Euro","610.4"
"Mean Weekly Earnings","2015","Co. Waterford","Male","Euro","697.22"
"Mean Weekly Earnings","2015","Co. Waterford","Female","Euro","526.41"
"Mean Weekly Earnings","2015","Co. Wicklow","Both sexes","Euro","694.31"
"Mean Weekly Earnings","2015","Co. Wicklow","Male","Euro","813.51"
"Mean Weekly Earnings","2015","Co. Wicklow","Female","Euro","580.57"
"Mean Weekly Earnings","2015","Co. Westmeath","Both sexes","Euro","626.94"
"Mean Weekly Earnings","2015","Co. Westmeath","Male","Euro","695.73"
"Mean Weekly Earnings","2015","Co. Westmeath","Female","Euro","557.79"
"Mean Weekly Earnings","2015","Co. Wexford","Both sexes","Euro","563.64"
"Mean Weekly Earnings","2015","Co. Wexford","Male","Euro","627.69"
"Mean Weekly Earnings","2015","Co. Wexford","Female","Euro","502.48"
"Mean Weekly Earnings","2015","Ireland","Both sexes","Euro","671.73"
"Mean Weekly Earnings","2015","Ireland","Male","Euro","763.47"
"Mean Weekly Earnings","2015","Ireland","Female","Euro","581.45"
"Mean Weekly Earnings","2016","Co. Clare","Both sexes","Euro","649.31"
"Mean Weekly Earnings","2016","Co. Clare","Male","Euro","749.08"
"Mean Weekly Earnings","2016","Co. Clare","Female","Euro","555.85"
"Mean Weekly Earnings","2016","Co. Cork","Both sexes","Euro","681.41"
"Mean Weekly Earnings","2016","Co. Cork","Male","Euro","791.11"
"Mean Weekly Earnings","2016","Co. Cork","Female","Euro","571.25"
"Mean Weekly Earnings","2016","Co. Cavan","Both sexes","Euro","584.59"
"Mean Weekly Earnings","2016","Co. Cavan","Male","Euro","650.4"
"Mean Weekly Earnings","2016","Co. Cavan","Female","Euro","517.2"
"Mean Weekly Earnings","2016","Co. Carlow","Both sexes","Euro","584.8"
"Mean Weekly Earnings","2016","Co. Carlow","Male","Euro","652.34"
"Mean Weekly Earnings","2016","Co. Carlow","Female","Euro","512.56"
"Mean Weekly Earnings","2016","Co. Donegal","Both sexes","Euro","514.33"
"Mean Weekly Earnings","2016","Co. Donegal","Male","Euro","557.92"
"Mean Weekly Earnings","2016","Co. Donegal","Female","Euro","474.04"
"Mean Weekly Earnings","2016","Co. Dublin","Both sexes","Euro","777.63"
"Mean Weekly Earnings","2016","Co. Dublin","Male","Euro","882.72"
"Mean Weekly Earnings","2016","Co. Dublin","Female","Euro","669.8"
"Mean Weekly Earnings","2016","Co. Galway","Both sexes","Euro","645.06"
"Mean Weekly Earnings","2016","Co. Galway","Male","Euro","718.74"
"Mean Weekly Earnings","2016","Co. Galway","Female","Euro","575.5"
"Mean Weekly Earnings","2016","Co. Kildare","Both sexes","Euro","731.41"
"Mean Weekly Earnings","2016","Co. Kildare","Male","Euro","845.78"
"Mean Weekly Earnings","2016","Co. Kildare","Female","Euro","610.27"
"Mean Weekly Earnings","2016","Co. Kilkenny","Both sexes","Euro","624.73"
"Mean Weekly Earnings","2016","Co. Kilkenny","Male","Euro","701.55"
"Mean Weekly Earnings","2016","Co. Kilkenny","Female","Euro","553.74"
"Mean Weekly Earnings","2016","Co. Kerry","Both sexes","Euro","559.7"
"Mean Weekly Earnings","2016","Co. Kerry","Male","Euro","632.34"
"Mean Weekly Earnings","2016","Co. Kerry","Female","Euro","492.48"
"Mean Weekly Earnings","2016","Co. Longford","Both sexes","Euro","571.45"
"Mean Weekly Earnings","2016","Co. Longford","Male","Euro","619.78"
"Mean Weekly Earnings","2016","Co. Longford","Female","Euro","520.77"
"Mean Weekly Earnings","2016","Co. Louth","Both sexes","Euro","618.62"
"Mean Weekly Earnings","2016","Co. Louth","Male","Euro","694.58"
"Mean Weekly Earnings","2016","Co. Louth","Female","Euro","539.41"
"Mean Weekly Earnings","2016","Co. Limerick","Both sexes","Euro","651.25"
"Mean Weekly Earnings","2016","Co. Limerick","Male","Euro","741.6"
"Mean Weekly Earnings","2016","Co. Limerick","Female","Euro","557.59"
"Mean Weekly Earnings","2016","Co. Leitrim","Both sexes","Euro","573.72"
"Mean Weekly Earnings","2016","Co. Leitrim","Male","Euro","622.85"
"Mean Weekly Earnings","2016","Co. Leitrim","Female","Euro","530.19"
"Mean Weekly Earnings","2016","Co. Laois","Both sexes","Euro","629.14"
"Mean Weekly Earnings","2016","Co. Laois","Male","Euro","705.76"
"Mean Weekly Earnings","2016","Co. Laois","Female","Euro","552.29"
"Mean Weekly Earnings","2016","Co. Meath","Both sexes","Euro","706.26"
"Mean Weekly Earnings","2016","Co. Meath","Male","Euro","818.21"
"Mean Weekly Earnings","2016","Co. Meath","Female","Euro","590.74"
"Mean Weekly Earnings","2016","Co. Monaghan","Both sexes","Euro","540.96"
"Mean Weekly Earnings","2016","Co. Monaghan","Male","Euro","581.26"
"Mean Weekly Earnings","2016","Co. Monaghan","Female","Euro","499.96"
"Mean Weekly Earnings","2016","Co. Mayo","Both sexes","Euro","575.87"
"Mean Weekly Earnings","2016","Co. Mayo","Male","Euro","637.67"
"Mean Weekly Earnings","2016","Co. Mayo","Female","Euro","519.2"
"Mean Weekly Earnings","2016","Co. Offaly","Both sexes","Euro","598.46"
"Mean Weekly Earnings","2016","Co. Offaly","Male","Euro","662.18"
"Mean Weekly Earnings","2016","Co. Offaly","Female","Euro","530.98"
"Mean Weekly Earnings","2016","Co. Roscommon","Both sexes","Euro","600.54"
"Mean Weekly Earnings","2016","Co. Roscommon","Male","Euro","656.64"
"Mean Weekly Earnings","2016","Co. Roscommon","Female","Euro","547.36"
"Mean Weekly Earnings","2016","Co. Sligo","Both sexes","Euro","608.9"
"Mean Weekly Earnings","2016","Co. Sligo","Male","Euro","666.71"
"Mean Weekly Earnings","2016","Co. Sligo","Female","Euro","557.38"
"Mean Weekly Earnings","2016","Co. Tipperary","Both sexes","Euro","603.07"
"Mean Weekly Earnings","2016","Co. Tipperary","Male","Euro","677.07"
"Mean Weekly Earnings","2016","Co. Tipperary","Female","Euro","531.12"
"Mean Weekly Earnings","2016","Co. Waterford","Both sexes","Euro","614.35"
"Mean Weekly Earnings","2016","Co. Waterford","Male","Euro","703.02"
"Mean Weekly Earnings","2016","Co. Waterford","Female","Euro","525.37"
"Mean Weekly Earnings","2016","Co. Wicklow","Both sexes","Euro","711.82"
"Mean Weekly Earnings","2016","Co. Wicklow","Male","Euro","833.99"
"Mean Weekly Earnings","2016","Co. Wicklow","Female","Euro","591.64"
"Mean Weekly Earnings","2016","Co. Westmeath","Both sexes","Euro","633.21"
"Mean Weekly Earnings","2016","Co. Westmeath","Male","Euro","707.94"
"Mean Weekly Earnings","2016","Co. Westmeath","Female","Euro","555.36"
"Mean Weekly Earnings","2016","Co. Wexford","Both sexes","Euro","567.5"
"Mean Weekly Earnings","2016","Co. Wexford","Male","Euro","635.94"
"Mean Weekly Earnings","2016","Co. Wexford","Female","Euro","500.32"
"Mean Weekly Earnings","2016","Ireland","Both sexes","Euro","682.23"
"Mean Weekly Earnings","2016","Ireland","Male","Euro","775.48"
"Mean Weekly Earnings","2016","Ireland","Female","Euro","588.97"
"Mean Weekly Earnings","2017","Co. Clare","Both sexes","Euro","664.23"
"Mean Weekly Earnings","2017","Co. Clare","Male","Euro","766.11"
"Mean Weekly Earnings","2017","Co. Clare","Female","Euro","568.29"
"Mean Weekly Earnings","2017","Co. Cork","Both sexes","Euro","698.61"
"Mean Weekly Earnings","2017","Co. Cork","Male","Euro","811.5"
"Mean Weekly Earnings","2017","Co. Cork","Female","Euro","585.39"
"Mean Weekly Earnings","2017","Co. Cavan","Both sexes","Euro","598.77"
"Mean Weekly Earnings","2017","Co. Cavan","Male","Euro","666.1"
"Mean Weekly Earnings","2017","Co. Cavan","Female","Euro","528.92"
"Mean Weekly Earnings","2017","Co. Carlow","Both sexes","Euro","597.61"
"Mean Weekly Earnings","2017","Co. Carlow","Male","Euro","667.13"
"Mean Weekly Earnings","2017","Co. Carlow","Female","Euro","523.05"
"Mean Weekly Earnings","2017","Co. Donegal","Both sexes","Euro","528.61"
"Mean Weekly Earnings","2017","Co. Donegal","Male","Euro","571.68"
"Mean Weekly Earnings","2017","Co. Donegal","Female","Euro","488.29"
"Mean Weekly Earnings","2017","Co. Dublin","Both sexes","Euro","797.8"
"Mean Weekly Earnings","2017","Co. Dublin","Male","Euro","906.34"
"Mean Weekly Earnings","2017","Co. Dublin","Female","Euro","686.28"
"Mean Weekly Earnings","2017","Co. Galway","Both sexes","Euro","662.7"
"Mean Weekly Earnings","2017","Co. Galway","Male","Euro","737.48"
"Mean Weekly Earnings","2017","Co. Galway","Female","Euro","592.01"
"Mean Weekly Earnings","2017","Co. Kildare","Both sexes","Euro","749.26"
"Mean Weekly Earnings","2017","Co. Kildare","Male","Euro","866.11"
"Mean Weekly Earnings","2017","Co. Kildare","Female","Euro","625.73"
"Mean Weekly Earnings","2017","Co. Kilkenny","Both sexes","Euro","644.6"
"Mean Weekly Earnings","2017","Co. Kilkenny","Male","Euro","721.71"
"Mean Weekly Earnings","2017","Co. Kilkenny","Female","Euro","572.21"
"Mean Weekly Earnings","2017","Co. Kerry","Both sexes","Euro","576.55"
"Mean Weekly Earnings","2017","Co. Kerry","Male","Euro","648.8"
"Mean Weekly Earnings","2017","Co. Kerry","Female","Euro","508.43"
"Mean Weekly Earnings","2017","Co. Longford","Both sexes","Euro","580.72"
"Mean Weekly Earnings","2017","Co. Longford","Male","Euro","626.36"
"Mean Weekly Earnings","2017","Co. Longford","Female","Euro","532.13"
"Mean Weekly Earnings","2017","Co. Louth","Both sexes","Euro","632.64"
"Mean Weekly Earnings","2017","Co. Louth","Male","Euro","712.46"
"Mean Weekly Earnings","2017","Co. Louth","Female","Euro","548.81"
"Mean Weekly Earnings","2017","Co. Limerick","Both sexes","Euro","669.44"
"Mean Weekly Earnings","2017","Co. Limerick","Male","Euro","761.84"
"Mean Weekly Earnings","2017","Co. Limerick","Female","Euro","573.23"
"Mean Weekly Earnings","2017","Co. Leitrim","Both sexes","Euro","589.98"
"Mean Weekly Earnings","2017","Co. Leitrim","Male","Euro","638.58"
"Mean Weekly Earnings","2017","Co. Leitrim","Female","Euro","545.8"
"Mean Weekly Earnings","2017","Co. Laois","Both sexes","Euro","647.37"
"Mean Weekly Earnings","2017","Co. Laois","Male","Euro","724.74"
"Mean Weekly Earnings","2017","Co. Laois","Female","Euro","569.38"
"Mean Weekly Earnings","2017","Co. Meath","Both sexes","Euro","723.77"
"Mean Weekly Earnings","2017","Co. Meath","Male","Euro","839.79"
"Mean Weekly Earnings","2017","Co. Meath","Female","Euro","604.1"
"Mean Weekly Earnings","2017","Co. Monaghan","Both sexes","Euro","557.08"
"Mean Weekly Earnings","2017","Co. Monaghan","Male","Euro","601.37"
"Mean Weekly Earnings","2017","Co. Monaghan","Female","Euro","511.42"
"Mean Weekly Earnings","2017","Co. Mayo","Both sexes","Euro","594.31"
"Mean Weekly Earnings","2017","Co. Mayo","Male","Euro","657.32"
"Mean Weekly Earnings","2017","Co. Mayo","Female","Euro","535.55"
"Mean Weekly Earnings","2017","Co. Offaly","Both sexes","Euro","615.38"
"Mean Weekly Earnings","2017","Co. Offaly","Male","Euro","681.31"
"Mean Weekly Earnings","2017","Co. Offaly","Female","Euro","544.95"
"Mean Weekly Earnings","2017","Co. Roscommon","Both sexes","Euro","617.05"
"Mean Weekly Earnings","2017","Co. Roscommon","Male","Euro","675.66"
"Mean Weekly Earnings","2017","Co. Roscommon","Female","Euro","560.97"
"Mean Weekly Earnings","2017","Co. Sligo","Both sexes","Euro","624.1"
"Mean Weekly Earnings","2017","Co. Sligo","Male","Euro","683.56"
"Mean Weekly Earnings","2017","Co. Sligo","Female","Euro","570.74"
"Mean Weekly Earnings","2017","Co. Tipperary","Both sexes","Euro","617.05"
"Mean Weekly Earnings","2017","Co. Tipperary","Male","Euro","694.64"
"Mean Weekly Earnings","2017","Co. Tipperary","Female","Euro","542.37"
"Mean Weekly Earnings","2017","Co. Waterford","Both sexes","Euro","632.56"
"Mean Weekly Earnings","2017","Co. Waterford","Male","Euro","726.12"
"Mean Weekly Earnings","2017","Co. Waterford","Female","Euro","538.49"
"Mean Weekly Earnings","2017","Co. Wicklow","Both sexes","Euro","722.92"
"Mean Weekly Earnings","2017","Co. Wicklow","Male","Euro","844.78"
"Mean Weekly Earnings","2017","Co. Wicklow","Female","Euro","603.06"
"Mean Weekly Earnings","2017","Co. Westmeath","Both sexes","Euro","642.22"
"Mean Weekly Earnings","2017","Co. Westmeath","Male","Euro","718.24"
"Mean Weekly Earnings","2017","Co. Westmeath","Female","Euro","563.83"
"Mean Weekly Earnings","2017","Co. Wexford","Both sexes","Euro","583.4"
"Mean Weekly Earnings","2017","Co. Wexford","Male","Euro","654.77"
"Mean Weekly Earnings","2017","Co. Wexford","Female","Euro","512.74"
"Mean Weekly Earnings","2017","Ireland","Both sexes","Euro","699.57"
"Mean Weekly Earnings","2017","Ireland","Male","Euro","795"
"Mean Weekly Earnings","2017","Ireland","Female","Euro","603.6"
"Mean Weekly Earnings","2018","Co. Clare","Both sexes","Euro","684.81"
"Mean Weekly Earnings","2018","Co. Clare","Male","Euro","785.92"
"Mean Weekly Earnings","2018","Co. Clare","Female","Euro","589.04"
"Mean Weekly Earnings","2018","Co. Cork","Both sexes","Euro","723.76"
"Mean Weekly Earnings","2018","Co. Cork","Male","Euro","841.14"
"Mean Weekly Earnings","2018","Co. Cork","Female","Euro","605.09"
"Mean Weekly Earnings","2018","Co. Cavan","Both sexes","Euro","617.24"
"Mean Weekly Earnings","2018","Co. Cavan","Male","Euro","685.83"
"Mean Weekly Earnings","2018","Co. Cavan","Female","Euro","546.69"
"Mean Weekly Earnings","2018","Co. Carlow","Both sexes","Euro","617.51"
"Mean Weekly Earnings","2018","Co. Carlow","Male","Euro","690.99"
"Mean Weekly Earnings","2018","Co. Carlow","Female","Euro","538.63"
"Mean Weekly Earnings","2018","Co. Donegal","Both sexes","Euro","547.65"
"Mean Weekly Earnings","2018","Co. Donegal","Male","Euro","594.66"
"Mean Weekly Earnings","2018","Co. Donegal","Female","Euro","503.49"
"Mean Weekly Earnings","2018","Co. Dublin","Both sexes","Euro","826.52"
"Mean Weekly Earnings","2018","Co. Dublin","Male","Euro","941.82"
"Mean Weekly Earnings","2018","Co. Dublin","Female","Euro","707.32"
"Mean Weekly Earnings","2018","Co. Galway","Both sexes","Euro","682.47"
"Mean Weekly Earnings","2018","Co. Galway","Male","Euro","759.25"
"Mean Weekly Earnings","2018","Co. Galway","Female","Euro","609.07"
"Mean Weekly Earnings","2018","Co. Kildare","Both sexes","Euro","774.5"
"Mean Weekly Earnings","2018","Co. Kildare","Male","Euro","896.88"
"Mean Weekly Earnings","2018","Co. Kildare","Female","Euro","645.83"
"Mean Weekly Earnings","2018","Co. Kilkenny","Both sexes","Euro","668.7"
"Mean Weekly Earnings","2018","Co. Kilkenny","Male","Euro","747.91"
"Mean Weekly Earnings","2018","Co. Kilkenny","Female","Euro","594.74"
"Mean Weekly Earnings","2018","Co. Kerry","Both sexes","Euro","592.32"
"Mean Weekly Earnings","2018","Co. Kerry","Male","Euro","666.51"
"Mean Weekly Earnings","2018","Co. Kerry","Female","Euro","522.55"
"Mean Weekly Earnings","2018","Co. Longford","Both sexes","Euro","595.99"
"Mean Weekly Earnings","2018","Co. Longford","Male","Euro","642.47"
"Mean Weekly Earnings","2018","Co. Longford","Female","Euro","545.57"
"Mean Weekly Earnings","2018","Co. Louth","Both sexes","Euro","652.57"
"Mean Weekly Earnings","2018","Co. Louth","Male","Euro","739.31"
"Mean Weekly Earnings","2018","Co. Louth","Female","Euro","562"
"Mean Weekly Earnings","2018","Co. Limerick","Both sexes","Euro","689.12"
"Mean Weekly Earnings","2018","Co. Limerick","Male","Euro","784.6"
"Mean Weekly Earnings","2018","Co. Limerick","Female","Euro","589.52"
"Mean Weekly Earnings","2018","Co. Leitrim","Both sexes","Euro","606.79"
"Mean Weekly Earnings","2018","Co. Leitrim","Male","Euro","655.57"
"Mean Weekly Earnings","2018","Co. Leitrim","Female","Euro","561.62"
"Mean Weekly Earnings","2018","Co. Laois","Both sexes","Euro","670.81"
"Mean Weekly Earnings","2018","Co. Laois","Male","Euro","753.74"
"Mean Weekly Earnings","2018","Co. Laois","Female","Euro","586.83"
"Mean Weekly Earnings","2018","Co. Meath","Both sexes","Euro","745.89"
"Mean Weekly Earnings","2018","Co. Meath","Male","Euro","866.88"
"Mean Weekly Earnings","2018","Co. Meath","Female","Euro","622.33"
"Mean Weekly Earnings","2018","Co. Monaghan","Both sexes","Euro","577.62"
"Mean Weekly Earnings","2018","Co. Monaghan","Male","Euro","623.36"
"Mean Weekly Earnings","2018","Co. Monaghan","Female","Euro","530.02"
"Mean Weekly Earnings","2018","Co. Mayo","Both sexes","Euro","609.26"
"Mean Weekly Earnings","2018","Co. Mayo","Male","Euro","674.72"
"Mean Weekly Earnings","2018","Co. Mayo","Female","Euro","548.59"
"Mean Weekly Earnings","2018","Co. Offaly","Both sexes","Euro","633.79"
"Mean Weekly Earnings","2018","Co. Offaly","Male","Euro","707.45"
"Mean Weekly Earnings","2018","Co. Offaly","Female","Euro","556.03"
"Mean Weekly Earnings","2018","Co. Roscommon","Both sexes","Euro","635.74"
"Mean Weekly Earnings","2018","Co. Roscommon","Male","Euro","696.84"
"Mean Weekly Earnings","2018","Co. Roscommon","Female","Euro","577.87"
"Mean Weekly Earnings","2018","Co. Sligo","Both sexes","Euro","636.9"
"Mean Weekly Earnings","2018","Co. Sligo","Male","Euro","694.6"
"Mean Weekly Earnings","2018","Co. Sligo","Female","Euro","584.91"
"Mean Weekly Earnings","2018","Co. Tipperary","Both sexes","Euro","637"
"Mean Weekly Earnings","2018","Co. Tipperary","Male","Euro","716.3"
"Mean Weekly Earnings","2018","Co. Tipperary","Female","Euro","560.28"
"Mean Weekly Earnings","2018","Co. Waterford","Both sexes","Euro","645.27"
"Mean Weekly Earnings","2018","Co. Waterford","Male","Euro","738.15"
"Mean Weekly Earnings","2018","Co. Waterford","Female","Euro","551.7"
"Mean Weekly Earnings","2018","Co. Wicklow","Both sexes","Euro","745.64"
"Mean Weekly Earnings","2018","Co. Wicklow","Male","Euro","872.04"
"Mean Weekly Earnings","2018","Co. Wicklow","Female","Euro","621.71"
"Mean Weekly Earnings","2018","Co. Westmeath","Both sexes","Euro","659.05"
"Mean Weekly Earnings","2018","Co. Westmeath","Male","Euro","736.65"
"Mean Weekly Earnings","2018","Co. Westmeath","Female","Euro","579.13"
"Mean Weekly Earnings","2018","Co. Wexford","Both sexes","Euro","601.44"
"Mean Weekly Earnings","2018","Co. Wexford","Male","Euro","674.87"
"Mean Weekly Earnings","2018","Co. Wexford","Female","Euro","529.13"
"Mean Weekly Earnings","2018","Ireland","Both sexes","Euro","722.47"
"Mean Weekly Earnings","2018","Ireland","Male","Euro","822.35"
"Mean Weekly Earnings","2018","Ireland","Female","Euro","621.7"
"Mean Weekly Earnings","2019","Co. Clare","Both sexes","Euro","712.52"
"Mean Weekly Earnings","2019","Co. Clare","Male","Euro","818.37"
"Mean Weekly Earnings","2019","Co. Clare","Female","Euro","611.69"
"Mean Weekly Earnings","2019","Co. Cork","Both sexes","Euro","756.22"
"Mean Weekly Earnings","2019","Co. Cork","Male","Euro","880.65"
"Mean Weekly Earnings","2019","Co. Cork","Female","Euro","630.27"
"Mean Weekly Earnings","2019","Co. Cavan","Both sexes","Euro","646.08"
"Mean Weekly Earnings","2019","Co. Cavan","Male","Euro","725.4"
"Mean Weekly Earnings","2019","Co. Cavan","Female","Euro","564.6"
"Mean Weekly Earnings","2019","Co. Carlow","Both sexes","Euro","644.04"
"Mean Weekly Earnings","2019","Co. Carlow","Male","Euro","720.82"
"Mean Weekly Earnings","2019","Co. Carlow","Female","Euro","561.53"
"Mean Weekly Earnings","2019","Co. Donegal","Both sexes","Euro","571.39"
"Mean Weekly Earnings","2019","Co. Donegal","Male","Euro","622.85"
"Mean Weekly Earnings","2019","Co. Donegal","Female","Euro","523.36"
"Mean Weekly Earnings","2019","Co. Dublin","Both sexes","Euro","864.45"
"Mean Weekly Earnings","2019","Co. Dublin","Male","Euro","985.44"
"Mean Weekly Earnings","2019","Co. Dublin","Female","Euro","738.92"
"Mean Weekly Earnings","2019","Co. Galway","Both sexes","Euro","715.38"
"Mean Weekly Earnings","2019","Co. Galway","Male","Euro","797.02"
"Mean Weekly Earnings","2019","Co. Galway","Female","Euro","636.82"
"Mean Weekly Earnings","2019","Co. Kildare","Both sexes","Euro","805.9"
"Mean Weekly Earnings","2019","Co. Kildare","Male","Euro","931.87"
"Mean Weekly Earnings","2019","Co. Kildare","Female","Euro","672.59"
"Mean Weekly Earnings","2019","Co. Kilkenny","Both sexes","Euro","692.44"
"Mean Weekly Earnings","2019","Co. Kilkenny","Male","Euro","777.46"
"Mean Weekly Earnings","2019","Co. Kilkenny","Female","Euro","613.37"
"Mean Weekly Earnings","2019","Co. Kerry","Both sexes","Euro","616.26"
"Mean Weekly Earnings","2019","Co. Kerry","Male","Euro","693.71"
"Mean Weekly Earnings","2019","Co. Kerry","Female","Euro","543.36"
"Mean Weekly Earnings","2019","Co. Longford","Both sexes","Euro","620.57"
"Mean Weekly Earnings","2019","Co. Longford","Male","Euro","674.82"
"Mean Weekly Earnings","2019","Co. Longford","Female","Euro","563.76"
"Mean Weekly Earnings","2019","Co. Louth","Both sexes","Euro","679.05"
"Mean Weekly Earnings","2019","Co. Louth","Male","Euro","766.4"
"Mean Weekly Earnings","2019","Co. Louth","Female","Euro","587.37"
"Mean Weekly Earnings","2019","Co. Limerick","Both sexes","Euro","722.22"
"Mean Weekly Earnings","2019","Co. Limerick","Male","Euro","820.49"
"Mean Weekly Earnings","2019","Co. Limerick","Female","Euro","620.06"
"Mean Weekly Earnings","2019","Co. Leitrim","Both sexes","Euro","636.6"
"Mean Weekly Earnings","2019","Co. Leitrim","Male","Euro","688.74"
"Mean Weekly Earnings","2019","Co. Leitrim","Female","Euro","587.93"
"Mean Weekly Earnings","2019","Co. Laois","Both sexes","Euro","697.27"
"Mean Weekly Earnings","2019","Co. Laois","Male","Euro","784.48"
"Mean Weekly Earnings","2019","Co. Laois","Female","Euro","608.65"
"Mean Weekly Earnings","2019","Co. Meath","Both sexes","Euro","778.48"
"Mean Weekly Earnings","2019","Co. Meath","Male","Euro","905.37"
"Mean Weekly Earnings","2019","Co. Meath","Female","Euro","648.44"
"Mean Weekly Earnings","2019","Co. Monaghan","Both sexes","Euro","604.46"
"Mean Weekly Earnings","2019","Co. Monaghan","Male","Euro","653.25"
"Mean Weekly Earnings","2019","Co. Monaghan","Female","Euro","553.96"
"Mean Weekly Earnings","2019","Co. Mayo","Both sexes","Euro","640.14"
"Mean Weekly Earnings","2019","Co. Mayo","Male","Euro","710.69"
"Mean Weekly Earnings","2019","Co. Mayo","Female","Euro","573.61"
"Mean Weekly Earnings","2019","Co. Offaly","Both sexes","Euro","662.69"
"Mean Weekly Earnings","2019","Co. Offaly","Male","Euro","742.97"
"Mean Weekly Earnings","2019","Co. Offaly","Female","Euro","578.04"
"Mean Weekly Earnings","2019","Co. Roscommon","Both sexes","Euro","661.51"
"Mean Weekly Earnings","2019","Co. Roscommon","Male","Euro","729.04"
"Mean Weekly Earnings","2019","Co. Roscommon","Female","Euro","596.51"
"Mean Weekly Earnings","2019","Co. Sligo","Both sexes","Euro","668.55"
"Mean Weekly Earnings","2019","Co. Sligo","Male","Euro","729.16"
"Mean Weekly Earnings","2019","Co. Sligo","Female","Euro","613.32"
"Mean Weekly Earnings","2019","Co. Tipperary","Both sexes","Euro","662.06"
"Mean Weekly Earnings","2019","Co. Tipperary","Male","Euro","744.16"
"Mean Weekly Earnings","2019","Co. Tipperary","Female","Euro","582.49"
"Mean Weekly Earnings","2019","Co. Waterford","Both sexes","Euro","673.01"
"Mean Weekly Earnings","2019","Co. Waterford","Male","Euro","768.24"
"Mean Weekly Earnings","2019","Co. Waterford","Female","Euro","577.36"
"Mean Weekly Earnings","2019","Co. Wicklow","Both sexes","Euro","776.95"
"Mean Weekly Earnings","2019","Co. Wicklow","Male","Euro","907.44"
"Mean Weekly Earnings","2019","Co. Wicklow","Female","Euro","648.82"
"Mean Weekly Earnings","2019","Co. Westmeath","Both sexes","Euro","688.24"
"Mean Weekly Earnings","2019","Co. Westmeath","Male","Euro","772.12"
"Mean Weekly Earnings","2019","Co. Westmeath","Female","Euro","601.97"
"Mean Weekly Earnings","2019","Co. Wexford","Both sexes","Euro","625.52"
"Mean Weekly Earnings","2019","Co. Wexford","Male","Euro","703.16"
"Mean Weekly Earnings","2019","Co. Wexford","Female","Euro","549.08"
"Mean Weekly Earnings","2019","Ireland","Both sexes","Euro","753.58"
"Mean Weekly Earnings","2019","Ireland","Male","Euro","858.25"
"Mean Weekly Earnings","2019","Ireland","Female","Euro","647.5"
"Mean Weekly Earnings","2020","Co. Clare","Both sexes","Euro","755.02"
"Mean Weekly Earnings","2020","Co. Clare","Male","Euro","853.08"
"Mean Weekly Earnings","2020","Co. Clare","Female","Euro","661.19"
"Mean Weekly Earnings","2020","Co. Cork","Both sexes","Euro","800.67"
"Mean Weekly Earnings","2020","Co. Cork","Male","Euro","923.16"
"Mean Weekly Earnings","2020","Co. Cork","Female","Euro","674.61"
"Mean Weekly Earnings","2020","Co. Cavan","Both sexes","Euro","680.69"
"Mean Weekly Earnings","2020","Co. Cavan","Male","Euro","750.99"
"Mean Weekly Earnings","2020","Co. Cavan","Female","Euro","607.3"
"Mean Weekly Earnings","2020","Co. Carlow","Both sexes","Euro","671.28"
"Mean Weekly Earnings","2020","Co. Carlow","Male","Euro","740.76"
"Mean Weekly Earnings","2020","Co. Carlow","Female","Euro","595.53"
"Mean Weekly Earnings","2020","Co. Donegal","Both sexes","Euro","615.58"
"Mean Weekly Earnings","2020","Co. Donegal","Male","Euro","662.98"
"Mean Weekly Earnings","2020","Co. Donegal","Female","Euro","570.6"
"Mean Weekly Earnings","2020","Co. Dublin","Both sexes","Euro","937.3"
"Mean Weekly Earnings","2020","Co. Dublin","Male","Euro","1060.67"
"Mean Weekly Earnings","2020","Co. Dublin","Female","Euro","807.91"
"Mean Weekly Earnings","2020","Co. Galway","Both sexes","Euro","747.74"
"Mean Weekly Earnings","2020","Co. Galway","Male","Euro","822.08"
"Mean Weekly Earnings","2020","Co. Galway","Female","Euro","676.2"
