"Statistic Label","Year","County","Sex","UNIT","VALUE"
"Mean Weekly Earnings","2011","Co. Westmeath","Female","Euro","556.88"
"Mean Weekly Earnings","2011","Co. Wexford","Both sexes","Euro","569.11"
"Mean Weekly Earnings","2011","Co. Wexford","Male","Euro","648.71"
"Mean Weekly Earnings","2011","Co. Wexford","Female","Euro","500.79"
"Mean Weekly Earnings","2011","Ireland","Both sexes","Euro","667.76"
"Mean Weekly Earnings","2011","Ireland","Male","Euro","768.31"
"Mean Weekly Earnings","2011","Ireland","Female","Euro","574.53"
"Mean Weekly Earnings","2012","Co. Clare","Both sexes","Euro","638.98"
"Mean Weekly Earnings","2012","Co. Clare","Male","Euro","741.54"
"Mean Weekly Earnings","2012","Co. Clare","Female","Euro","548.59"
"Mean Weekly Earnings","2012","Co. Cork","Both sexes","Euro","662.93"
"Mean Weekly Earnings","2012","Co. Cork","Male","Euro","773.46"
"Mean Weekly Earnings","2012","Co. Cork","Female","Euro","558.68"
"Mean Weekly Earnings","2012","Co. Cavan","Both sexes","Euro","580.29"
"Mean Weekly Earnings","2012","Co. Cavan","Male","Euro","642.74"
"Mean Weekly Earnings","2012","Co. Cavan","Female","Euro","524.77"
"Mean Weekly Earnings","2012","Co. Carlow","Both sexes","Euro","577.89"
"Mean Weekly Earnings","2012","Co. Carlow","Male","Euro","639.45"
"Mean Weekly Earnings","2012","Co. Carlow","Female","Euro","518.21"
"Mean Weekly Earnings","2012","Co. Donegal","Both sexes","Euro","521.57"
"Mean Weekly Earnings","2012","Co. Donegal","Male","Euro","562.75"
"Mean Weekly Earnings","2012","Co. Donegal","Female","Euro","486.08"
"Mean Weekly Earnings","2012","Co. Dublin","Both sexes","Euro","744.34"
"Mean Weekly Earnings","2012","Co. Dublin","Male","Euro","855.35"
"Mean Weekly Earnings","2012","Co. Dublin","Female","Euro","636.62"
"Mean Weekly Earnings","2012","Co. Galway","Both sexes","Euro","625.99"
"Mean Weekly Earnings","2012","Co. Galway","Male","Euro","693.29"
"Mean Weekly Earnings","2012","Co. Galway","Female","Euro","567.49"
"Mean Weekly Earnings","2012","Co. Kildare","Both sexes","Euro","703.53"
"Mean Weekly Earnings","2012","Co. Kildare","Male","Euro","817.44"
"Mean Weekly Earnings","2012","Co. Kildare","Female","Euro","589.77"
"Mean Weekly Earnings","2012","Co. Kilkenny","Both sexes","Euro","624.7"
"Mean Weekly Earnings","2012","Co. Kilkenny","Male","Euro","708.43"
"Mean Weekly Earnings","2012","Co. Kilkenny","Female","Euro","554.24"
